,"Author: Spencer-Dene, Bradley",,,,,,,,,,,
2007,"Targeted Inactivation of Fh1 Causes Proliferative Renal Cyst Development and Activation of the Hypoxia Pathway","Pollard P.J., Martin A., Igarashi P., Varsani-Brown S., Rosewell I., Poulsom R., Maxwell P., Stamp G.W., Tomlinson I.P.M., Spencer-Dene B., Shukla D., Howarth K., Nye E., El-Bahrawy M., Deheragoda M., Joannou M., McDonald S.",15356108,"Cancer Cell",11, 4,0,1,16,17,8,25
2006,"HAN11 binds mDia1 and controls GLI1 transcriptional activity","Morita K., Celso C.L., Spencer-Dene B., Zouboulis C.C., Watt F.M.",09231811,"Journal of Dermatological Science",44, 1,0,0,1,1,0,1
2006,"Gli3-mediated somitic Fgf10 expression gradients are required for the induction and patterning of mammary epithelium along the embryonic axes","Veltmaat J.M., Rice D.P., Thiery J.P., Bellusci S., Relaix F., Le L.T., Kratochwil K., Sala F.G., van Veelen W., Rice R., Spencer-Dene B., Mailleux A.A.",09501991,"Development",133, 12,4,9,6,15,3,22
2006,"Stomach Development Is Dependent on Fibroblast Growth Factor 10/Fibroblast Growth Factor Receptor 2b-Mediated Signaling","Spencer-Dene B., Sala F.G., Bellusci S., Gschmeissner S., Stamp G., Dickson C.",00165085,"Gastroenterology",130, 4,1,4,2,6,4,11
2005,"Interaction of phosphorylated c-Jun with TCF4 regulates intestinal cancer development","Nateri A.S., Spencer-Dene B., Behrens A.",00280836,"Nature",437, 7056,22,20,26,46,19,87
2004,"Myh deficiency enhances intestinal tumorigenesis in multiple intestinal neoplasia (ApcMin/+) mice","Sieber O.M., Johnson V., Silver A., Yang H., Miller J.H., Ilyas M., Tomlinson I.P.M., Howarth K.M., Thirlwell C., Rowan A., Mandir N., Goodlad R.A., Gilkar A., Spencer-Dene B., Stamp G.",00085472,"Cancer Research",64, 24,6,7,5,12,1,19
2004,"Disruption of Fgf10/Fgfr2b-coordinated epithelial-mesenchymal interactions causes cleft palate","Rice R., Spencer-Dene B., Connor E.C., Gritli-Linde A., McMahon A.P., Dickson C., Thesleff I., Rice D.P.C.",00219738,"Journal of Clinical Investigation",113, 12,38,14,16,30,13,81
2004,"A crucial role for fibroblast growth factor signaling in embryonic mammary gland development","Dillon C., Spencer-Dene B., Dickson C.",10833021,"Journal of Mammary Gland Biology and Neoplasia",9, 2,4,2,4,6,2,12
2003,"The Thyroid Hormone Receptor-Associated Protein TRAP220 Is Required at Distinct Embryonic Stages in Placental, Cardiac, and Hepatic Development","Landles C., Chalk S., Steel J.H., Rosewell I., Spencer-Dene B., Lalani E.-N., Parker M.G.",08888809,"Molecular Endocrinology",17, 12,14,1,3,4,1,19
2003,"Erratum: Characterisation and developmental expression of mouse Plu-1, a homolouge of a human nuclear protein (PLU-1) which is specifically up-regulated in breast cancer (Gene Expression Patterns (2002) vol. 2 (275-282))","Madsen B., Taylor-Papdimitriou J., Spencer-Dene B., Poulsom R., Hall D., Lu P.J., Scott K., Shaw A.T., Burchell J.M., Freemont P.",1567133X,"Gene Expression Patterns",3, 4,0,0,0,0,0,0
2003,"The IIIb isoform of fibroblast growth factor receptor 2 is required for proper growth and branching of pancreatic ductal epithelium but not for differentiation of exocrine or endocrine cells","Pulkkinen M.-A., Spencer-Dene B., Dickson C., Otonkoski T.",09254773,"Mechanisms of Development",120, 2,10,8,4,12,1,23
2002,"Characterisation and developmental expression of mouse Plu-1, a homologue of a human nuclear protein (PLU-1) which is specifically up-regulated in breast cancer","Madsen B., Taylor-Papadimitriou J., Spencer-Dene B., Poulsom R., Hall D., Lu P.J., Scott K., Shaw A.T., Burchell J.M., Freemont P.",1567133X,"Gene Expression Patterns",2, 3-4,3,4,1,5,0,8
2002,"Characterisation and developmental expression of mouse Plu-1, a homologue of a human nuclear protein (PLU-1) which is specifically up-regulated in breast cancer","Madsen B., Taylor-Papadimitriou J., Spencer-Dene B., Poulsom R., Hall D., Lu P.J., Scott K., Shaw A.T., Burchell J.M., Freemont P.",09254773,"Mechanisms of Development",119, 1,2,3,1,4,1,7
2002,"Role of FGF10/FGFR2b signaling during mammary gland development in the mouse embryo","Mailleux A.A., Bellusci S., Spencer-Dene B., Dillon C., Ndiaye D., Savona-Baron C., Itoh N., Kato S., Dickson C., Thiery J.P.",09501991,"Development",129, 1,52,15,8,23,8,83
2001,"Fibroblast growth factor signalling in mouse mammary gland development","Spencer-Dene B., Dillon C., Fantl V., Kerr K., Petiot A., Dickson C.",13510088,"Endocrine-Related Cancer",8, 3,8,0,1,1,0,9
2001,"Fibroblast growth factor receptor 2-IIIb acts upstream of Shh and Fgf4 and is required for limb bud maintenance but not for the induction of Fgf8, Fgf10, Msx1, or Bmp4","Revest J.-M., Spencer-Dene B., Kerr K., De Moerlooze L., Rosewell I., Dickson C.",00121606,"Developmental Biology",231, 1,86,18,13,31,6,123
2000,"Tyrosine kinase signalling in breast cancer fibroblast growth factors and their receptors","Dickson C., Spencer-Dene B., Dillon C., Fantl V.",14655411,"Breast Cancer Research",2, 3,37,3,4,7,4,48
2000,"FGF/FGFR-2(IIIb) signaling is essential for inner ear morphogenesis","Pirvola U., Spencer-Dene B., Xing-Qun L., Kettunen P., Thesleff I., Fritzsch B., Dickson C., Ylikoski J.",02706474,"Journal of Neuroscience",20, 16,67,10,6,16,4,87
2000,"An important role for the IIIb isoform of fibroblast growth factor receptor 2 (FGFR2) in mesenchymal-epithelial signalling during mouse organogenesis","De Moerlooze L., Spencer-Dene B., Revest J.-M., Hajihosseini M., Rosewell I., Dickson C.",09501991,"Development",127, 3,237,45,30,75,21,333
1999,"Preneoplastic mammary tumor markers: Cripto and amphiregulin are overexpressed in hyperplastic stages of tumor progression in transgenic mice","Niemeyer C.C., Spencer-Dene B., Wu J.-X., Adamson E.D.",00207136,"International Journal of Cancer",81, 4,21,2,4,6,0,27
1998,"Transgenic mice expressing a dominant negative epidermal growth factor receptor have neural and other defects and remain viable by low expression","Wu J.-X., Spencer-Dene B., Adamson E.D.",10236171,"Transgenics",2, 3,1,0,0,0,0,1
1994,"Distribution of, and a putative role for, the cell-surface neutral metalloendopeptidases during mammalian craniofacial development","Spencer-Dene B., Thorogood P., Nair S., Kenny A.J., Harris M., Henderson B.",09501991,"Development",120, 11,25,2,1,3,1,29
1993,"Does neutral endopeptidase have a role in craniofacial development?","Spencer-Dene B., Thorogood P., Harris M., Henderson B.",03005127,"Biochemical Society Transactions",21, 3,0,0,0,0,0,0
