,"Authors: Jarvelin, Marjo Riitta;Järvelin, Marjo Ritta",,,,,,,,,,,
2009,Genome-wide association scan meta-analysis identifies three loci influencing adiposity and fat distribution,"Lindgren C.M., Herrera B.M., Weedon M.N., Witteman J.C.M., Zhang C., Zhang W., Caulfield M.J., Collins F.S., Smith G.D., Day I.N.M., Franks P.W., Hattersley A.T., Jackson A.U., Hu F.B., Jarvelin M.-R., Kong A., Kooner J.S., Laakso M., Lakatta E., Mooser V., Morris A.D., Peltonen L., Samani N.J., Lim N., Spector T.D., Strachan D.P., Tanaka T., Tuomilehto J., Uitterlinden A.G., Van Duijn C.M., Wareham N.J., Watkins H., Waterworth D.M., Boehnke M., Scheet P., Deloukas P., Groop L., Hunter D.J., Thorsteinsdottir U., Schlessinger D., Wichmann H.-E., Frayling T.M., Abecasis G.R., Hirschhorn J.N., Loos R.J.F., Soranzo N., Stefansson K., Mohlke K.L., Barroso I., McCarthy M.I., Amin N., Aulchenko Y.S., Chambers J.C., Drong A., Luan J., Heid I.M., Lyon H.N., Rivadeneira F., Sanna S., Timpson N.J., Zillikens M.C., Jing H.Z., Almgren P., Bandinelli S., Bennett A.J., Bergman R.N., Randall J.C., Bonnycastle L.L., Bumpstead S.J., Chanock S.J., Cherkas L., Chines P., Coin L., Cooper C., Crawford G., Doering A., Dominiczak A., Lamina C., Doney A.S.F., Ebrahim S., Elliott P., Erdos M.R., Estrada K., Ferrucci L., Fischer G., Forouhi N.G., Gieger C., Grallert H., Steinthorsdottir V., Groves C.J., Grundy S., Guiducci C., Hadley D., Hamsten A., Havulinna A.S., Hofman A., Holle R., Holloway J.W., Illig T., Qi L., Isomaa B., Jacobs L.C., Jameson K., Jousilahti P., Karpe F., Kuusisto J., Laitinen J., Lathrop G.M., Lawlor D.A., Mangino M., Speliotes E.K., McArdle W.L., Meitinger T., Morken M.A., Morris A.P., Munroe P., Narisu N., Nordstrom A., Nordstrom P., Oostra B.A., Palmer C.N.A., Thorleifsson G., Payne F., Peden J.F., Prokopenko I., Renstrom F., Ruokonen A., Salomaa V., Sandhu M.S., Scott L.J., Scuteri A., Silander K., Willer C.J., Song K., Yuan X., Stringham H.M., Swift A.J., Tuomi T., Uda M., Vollenweider P., Waeber G., Wallace C., Walters G.B.",15537390,PLoS Genetics,5,6,0,0,0,0,0,0
2009,"Birth size, infant weight gain, and motor development influence adult physical performance","Ridgway C.L., Ong K.K., Tammelin T., Sharp S.J., Ekelund U., Jarvelin M.-R.",1959131,Medicine and Science in Sports and Exercise,41,6,0,0,0,0,1,1
2009,The brain structural disposition to social interaction,"Lebreton M., Jones P.B., Isohanni M., Bullmore E.T., Murray G.K., Barnes A., Miettunen J., Peltonen L., Ridler K., Veijola J., Tanskanen P., Suckling J., Jarvelin M.-R.",0953816X,European Journal of Neuroscience,29,11,0,0,0,0,0,0
2009,Weight at birth and infancy in relation to adult leukocyte count: A population-based study of 5619 men and women followed from the fetal period to adulthood,"Canoy D., Pouta A., Ruokonen A., Hartikainen A.-L., Saikku P., Jarvelin M.-R.",0021972X,Journal of Clinical Endocrinology and Metabolism,94,6,0,0,0,0,0,0
2009,Combined effects of MC4R and FTO common genetic variants on obesity in European general populations,"Cauchi S., Laitinen J., Gonzalez-Izquierdo A., Blakemore A.I., Elliott P., Meyre D., Balkau B., Jarvelin M.-R., Froguel P., Stutzmann F., Cavalcanti-Proenca C., Durand E., Pouta A., Hartikainen A.-L., Marre M., Vol S., Tammelin T.",9462716,Journal of Molecular Medicine,87,5,0,0,0,0,2,2
2009,Adolescent manifestations of metabolic syndrome among children born to women with gestational diabetes in a general-population birth cohort,"Jarvelin M.-R., Vaarasmaki M., Pouta A., Elliot P., Tapanainen P., Sovio U., Ruokonen A., Hartikainen A.-L., McCarthy M.",29262,American Journal of Epidemiology,169,10,0,0,0,0,0,0
2009,5-HTTLPR genotype and anxiety-related personality traits: A meta-analysis and new data,"Munafo M.R., Freimer N.B., Ng W., Ophoff R., Veijola J., Miettunen J., Jarvelin M.-R., Taanila A., Flint J.",1552485X,"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics",150,2,0,0,0,0,4,4
2009,Genetic determinants of height growth assessed longitudinally from infancy to adulthood in the northern finland birth cohort 1966,"Sovio U., Pillas D., Tzoulaki I., Molitor J., Hoggart C., Coin L.J.M., Whittaker J., Pouta A., Hartikainen A.-L., Freimer N.B., Widen E., Bennett A.J., Peltonen L., Elliott P., I.Mccarthy M., Jarvelin M.-R., Millwood L.Y., Molitor J., O'Reilly P.F., J.Timpson N., Kaakinen M., Laitinen J., Haukka J.",15537390,PLoS Genetics,5,3,0,0,0,0,0,0
2009,Perinatal outcome of children born to mothers with thyroid dysfunction or antibodies: A prospective population-based cohort study,"Mannisto T., Vaarasmaki M., Pouta A., Hartikainen A.-L., Ruokonen A., Surcel H.-M., Bloigu A., Jarvelin M.R., Suvanto-Luukkonen E.",0021972X,Journal of Clinical Endocrinology and Metabolism,94,3,0,0,0,0,0,0
2009,Common genetic variation near MC4R is associated with eating behaviour patterns in European populations,"Stutzmann F., Weill J., Balkau B., Potoczna N., Laitinen J., Elliott P., Jarvelin M.-R., Horber F., Meyre D., Froguel P., Cauchi S., Durand E., Calvacanti-Proenca C., Pigeyre M., Hartikainen A.-L., Sovio U., Tichet J., Marre M.",3070565,International Journal of Obesity,33,3,0,0,0,0,0,0
2009,Genome-wide association study for early-onset and morbid adult obesity identifies three new risk loci in European populations,"Meyre D., Proenca C., Gaget S., Korner A., Kovacs P., Kiess W., Tichet J., Marre M., Hartikainen A.-L., Horber F., Potoczna N., Delplanque J., Hercberg S., Levy-Marchal C., Pattou F., Heude B., Tauber M., McCarthy M.I., Blakemore A.I.F., Montpetit A., Polychronakos C., Weill J., Chevre J.-C., Coin L.J.M., Asher J., Elliott P., Jarvelin M.-R., Visvikis-Siest S., Balkau B., Sladek R., Balding D., Walley A., Dina C., Lecoeur C., Froguel P., Lobbens S., Gallina S., Durand E., Vatin V., Degraeve F.",10614036,Nature Genetics,41,2,0,0,0,0,15,15
2009,Association of variants in DISC1 with psychosis-related traits in a large population cohort,"Tomppo L., Ekelund J., Hennah W., Miettunen J., Jarvelin M.-R., Veijola J., Ripatti S., Lahermo P., Lichtermann D., Peltonen L.",0003990X,Archives of General Psychiatry,66,2,0,0,0,0,1,1
2009,A variant near MTNR1B is associated with increased fasting plasma glucose levels and type 2 diabetes risk,"Bouatia-Naji N., Durand E., De Graeve F., Chevre J.-C., Borch-Johnsen K., Hartikainen A.-L., Ruokonen A., Tichet J., Marre M., Weill J., Heude B., Bonnefond A., Tauber M., Lemaire K., Schuit F., Elliott P., Jorgensen T., Charpentier G., Hadjadj S., Cauchi S., Vaxillaire M., Sladek R., Cavalcanti-Proenca C., Visvikis-Siest S., Balkau B., Levy-Marchal C., Pattou F., Meyre D., Blakemore A.I.F., Jarvelin M.-R., Walley A.J., Hansen T., Dina C., Sparso T., Pedersen O., Froguel P., Holmkvist J., Marchand M., Delplanque J., Lobbens S., Rocheleau G.",10614036,Nature Genetics,41,1,0,0,0,0,17,17
2009,Six new loci associated with body mass index highlight a neuronal influence on body weight regulation,"Willer C.J., Lamina C., Vollenweider P., Waeber G., Wallace C., Watanabe R.M., Waterworth D.M., Watkins N., Witteman J.C.M., Zeggini E., Zhai G., Zillikens M.C., Lettre G., Altshuler D., Caulfield M.J., Chanock S.J., Farooqi I.S., Ferrucci L., Guralnik J.M., Hattersley A.T., Hu F.B., Jarvelin M.-R., Laakso M., Lim N., Mooser V., Ong K.K., Ouwehand W.H., Salomaa V., Samani N.J., Spector T.D., Tuomi T., Tuomilehto J., Uda M., Uitterlinden A.G., Lyon H.N., Wareham N.J., Deloukas P., Frayling T.M., Groop L.C., Hayes R.B., Hunter D.J., Mohlke K.L., Peltonen L., Schlessinger D., Strachan D.P., McCarroll S.A., Wichmann H.-E., McCarthy M.I., Boehnke M., Barroso I., Abecasis G.R., Hirschhorn J.N., Papadakis K., Qi L., Randall J.C., Roccasecca R.M., Sanna S., Speliotes E.K., Scheet P., Weedon M.N., Wheeler E., Zhao J.H., Jacobs L.C., Prokopenko I., Soranzo N., Tanaka T., Timpson N.J., Almgren P., Loos R.J.F., Bennett A., Bergman R.N., Bingham S.A., Bonnycastle L.L., Brown M., Burtt N.P., Chines P., Coin L., Collins F.S., Connell J.M., Li S., Cooper C., Smith G.D., Dennison E.M., Deodhar P., Elliott P., Erdos M.R., Estrada K., Evans D.M., Gianniny L., Gieger C., Lindgren C.M., Gillson C.J., Guiducci C., Hackett R., Hadley D., Hall A.S., Havulinna A.S., Hebebrand J., Hofman A., Isomaa B., Jacobs K.B., Heid I.M., Johnson T., Jousilahti P., Jovanovic Z., Khaw K.-T., Kraft P., Kuokkanen M., Kuusisto J., Laitinen J., Lakatta E.G., Luan J., Berndt S.I., Luben R.N., Mangino M., McArdle W.L., Meitinger T., Mulas A., Munroe P.B., Narisu N., Ness A.R., Northstone K., O'Rahilly S., Elliott A.L., Purmann C., Rees M.G., Ridderstrale M., Ring S.M., Rivadeneira F., Ruokonen A., Sandhu M.S., Saramies J., Scott L.J., Scuteri A., Jackson A.U., Silander K., Sims M.A., Song K., Stephens J., Stevens S., Stringham H.M., Tung Y.C.L., Valle T.T., Van Duijn C.M., Vimaleswaran K.S.",10614036,Nature Genetics,41,1,0,0,1,1,44,45
2009,Genome-wide association analysis of metabolic traits in a birth cohort from a founder population,"Sabatti C., Kaakinen M., Sovio U., Ruokonen A., Laitinen J., Jakkula E., Coin L., Hoggart C., Collins A., Turunen H., Gabriel S., Service S.K., Elliot P., McCarthy M.I., Daly M.J., Jarvelin M.-R., Freimer N.B., Peltonen L., Hartikainen A.-L., Pouta A., Ripatti S., Brodsky J., Jones C.G., Zaitlen N.A., Varilo T.",10614036,Nature Genetics,41,1,0,0,0,0,9,9
2009,Variants in MTNR1B influence fasting glucose levels,"Prokopenko I., Aulchenko Y., Barroso I., Van Duijn C., Dupuis J., Watanabe R.M., Stefansson K., McCarthy M.I., Wareham N.J., Meigs J.B., Abecasis G.R., Potter S.C., Erdos M.R., Sanna S., Hottenga J.-J., Wheeler E., Kaakinen M., Lyssenko V., Chen W.-M., Ahmadi K., Langenberg C., Beckmann J.S., Bergman R.N., Bochud M., Bonnycastle L.L., Buchanan T.A., Cao A., Cervino A., Coin L., Collins F.S., Crisponi L., Florez J.C., De Geus E.J.C., Dehghan A., Deloukas P., Doney A.S.F., Elliott P., Freimer N., Gateva V., Herder C., Hofman A., Hughes T.E., Saxena R., Hunt S., Illig T., Inouye M., Isomaa B., Johnson T., Kong A., Krestyaninova M., Kuusisto J., Laakso M., Lim N., Soranzo N., Lindblad U., Lindgren C.M., McCann O.T., Mohlke K.L., Morris A.D., Naitza S., Orru M., Palmer C.N.A., Pouta A., Randall J., Thorleifsson G., Rathmann W., Saramies J., Scheet P., Scott L.J., Scuteri A., Sharp S., Sijbrands E., Smit J.H., Song K., Steinthorsdottir V., Loos R.J.F., Stringham H.M., Tuomi T., Tuomilehto J., Uitterlinden A.G., Voight B.F., Waterworth D., Wichmann H.-E., Willemsen G., Witteman J.C.M., Yuan X., Manning A.K., Zhao J.H., Zeggini E., Schlessinger D., Sandhu M., Boomsma D.I., Uda M., Spector T.D., Penninx B.W.J.H., Altshuler D., Vollenweider P., Jackson A.U., Jarvelin M.R., Lakatta E., Waeber G., Fox C.S., Peltonen L., Groop L.C., Mooser V., Cupples L.A., Thorsteinsdottir U., Boehnke M.",10614036,Nature Genetics,41,1,0,0,0,0,19,19
2009,Epilepsy in the northern Finland birth cohort 1966 with special reference to fertility,"Lofgren E., Pouta A., Wendt L.v., Tapanainen J., Isojarvi J.I.T., Jarvelin M.-R.",15255050,Epilepsy and Behavior,14,1,0,0,0,0,0,0
2009,Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts,"Aulchenko Y.S., Spector T., Martin N.G., Pedersen N.L., Kyvik K.O., Kaprio J., Hofman A., Freimer N.B., Jarvelin M.-R., Gyllensten U., Campbell H., Ripatti S., Rudan I., Johansson A., Marroni F., Hayward C., Vitart V., Jonasson I., Pattaro C., Wright A., Hastie N., Pichler I., Lindqvist I., Hicks A.A., Falchi M., Willemsen G., Hottenga J.-J., De Geus E.J.C., Montgomery G.W., Whitfield J., Magnusson P., Saharinen J., Perola M., Boomsma D., Silander K., Isaacs A., Sijbrands E.J.G., Uitterlinden A.G., Witteman J.C.M., Oostra B.A., Elliott P., Ruokonen A., Sabatti C., Gieger C., Heid I.M., Meitinger T., Kronenberg F., Doring A., Wichmann H.-E., Smit J.H., McCarthy M.I., Van Duijn C.M., Peltonen L., Pramstaller P.P., Penninx B.W.J.H., Janssens A.C.J.W., Wilson J.F.",10614036,Nature Genetics,41,1,0,0,0,0,17,17
2008,The Genome-wide Patterns of Variation Expose Significant Substructure in a Founder Population,"Jakkula E., Freimer N., Ripatti S., Purcell S., Collins A., Daly M.J., Palotie A., Peltonen L., Rehnstrom K., Varilo T., Pietilainen O.P.H., Paunio T., Pedersen N.L., deFaire U., Jarvelin M.-R., Saharinen J.",29297,American Journal of Human Genetics,83,6,0,0,0,0,4,4
2008,Association of the cannabinoid receptor gene (CNR1) with ADHD and post-traumatic stress disorder,"Lu A.T., Nelson S.F., Cantor R.M., Smalley S.L., Ogdie M.N., Jarvelin M.-R., Moilanen I.K., Loo S.K., McCracken J.T., McGough J.J., Yang M.H., Peltonen L.",1552485X,"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics",147,8,0,0,0,0,3,3
2008,Temperament profiles in personality disorders among a young adult population,"Kantojarvi L., Miettunen J., Veijola J., Laksy K., Karvonen J., Ekelund J., Jarvelin M.-R., Lichtermann D., Joukamaa M.",8039488,Nordic Journal of Psychiatry,62,6,0,0,0,0,0,0
2008,Systematic review of worldwide variations of the prevalence of wheezing symptoms in children,"Patel S.P., Jarvelin M.-R., Little M.P.",1476069X,Environmental Health: A Global Access Science Source,7, ,0,0,0,0,1,1
2008,Prevalence of metabolic syndrome at age 16 using the International Diabetes Federation paediatric definition,"Pirkola J., Tammelin T., Bloigu A., Pouta A., Laitinen J., Ruokonen A., Tapanainen P., Jarvelin M.-R., Vaarasmaki M.",39888,Archives of Disease in Childhood,93,11,0,0,0,0,2,2
2008,Comparison of metabolic and inflammatory outcomes in women who used oral contraceptives and the levonorgestrel-releasing intrauterine device in a general population,"Morin-Papunen L., Jarvelin M.-R., Pouta A., Martikainen H., McCarthy M.I., Franks S., Sovio U., Hartikainen A.-L., Ruokonen A., Leinonen M., Laitinen J.",29378,American Journal of Obstetrics and Gynecology,199,5,0,0,0,0,4,4
2008,Non-participation in a field survey with respect to psychiatric disorders,"Haapea M., Miettunen J., Laara E., Joukamaa M.I., Jarvelin M.-R., Isohanni M.K., Veijola J.J.",14034948,Scandinavian Journal of Public Health,36,7,0,0,0,0,1,1
2008,Fecundability and spontaneous abortions in women with self-reported oligo-amenorrhea and/or hirsutism: Northern Finland Birth Cohort 1966 Study,"Koivunen R., Jarvelin M.-R., Morin-Papunen L., Pouta A., Franks S., Martikainen H., Sovio U., Hartikainen A.-L., McCarthy M.I., Ruokonen A., Bloigu A.",2681161,Human Reproduction,23,9,0,0,0,0,1,1
2008,"High birth weight, asthma and atopy at the age of 16 yr","Remes S.T., Patel S.P., Hartikainen A.-L., Jarvelin M.-R., Pekkanen J.",9056157,Pediatric Allergy and Immunology,19,6,0,0,1,1,2,3
2008,Association between age at onset and clinical features of schizophrenia: The Northern Finland 1966 birth cohort study,"Luoma S., Hakko H., Ollinen T., Jarvelin M.-R., Lindeman S.",9249338,European Psychiatry,23,5,0,0,0,0,1,1
2008,Association of variants in the fat mass and obesity associated (FTO) gene with polycystic ovary syndrome,"Barber T.M., Lindgren C.M., Freathy R.M., Koch K., Ouwehand W.H., Karpe F., Conway G.S., Wass J.A.H., Jarvelin M.-R., Franks S., McCarthy M.I., Bennett A.J., Groves C.J., Sovio U., Ruokonen A., Martikainen H., Pouta A., Hartikainen A.-L., Elliott P.",0012186X,Diabetologia,51,7,0,0,0,0,3,3
2008,"Common variants near MC4R are associated with fat mass, weight and risk of obesity","Loos R.J.F., Beckmann J.S., Albai G., Nagaraja R., Schlessinger D., Ganz Vogel C.I., Wallace C., Waterworth D.M., Weedon M.N., Willer C.J., Jackson A.U., Tuomilehto J., Berndt S.I., Collins F.S., Boehnke M., Mohlke K.L., Wraight V.L., Yuan X., Zeggini E., Hirschhorn J.N., Strachan D.P., Ouwehand W.H., Caulfield M.J., Jacobs K.B., Samani N.J., Frayling T.M., Vollenweider P., Waeber G., Mooser V., Deloukas P., McCarthy M.I., Wareham N.J., Barroso I., Chanock S.J., Hayes R.B., Bergmann S., Bennett A.J., Bingham S.A., Bochud M., Brown M., Lindgren C.M., Cauchi S., Connell J.M., Cooper C., Smith G.D., Day I., Dina C., De S., Dermitzakis E.T., Doney A.S.F., Elliott K.S., Li S., Elliott P., Evans D.M., Sadaf Farooqi I., Froguel P., Ghori J., Groves C.J., Gwilliam R., Hadley D., Hall A.S., Hattersley A.T., Wheeler E., Hebebrand J., Heid I.M., Lamina C., Gieger C., Illig T., Meitinger T., Wichmann H.-E., Herrera B., Hinney A., Hunt S.E., Zhao J.H., Jarvelin M.-R., Johnson T., Jolley J.D.M., Karpe F., Keniry A., Khaw K.-T., Luben R.N., Mangino M., Marchini J., McArdle W.L., Prokopenko I., McGinnis R., Meyre D., Munroe P.B., Morris A.D., Ness A.R., Neville M.J., Nica A.C., Ong K.K., O'Rahilly S., Owen K.R., Inouye M., Palmer C.N.A., Papadakis K., Potter S., Pouta A., Qi L., Kraft P., Hankinson S.E., Hunter D.J., Hu F.B., Randall J.C., Freathy R.M., Rayner N.W., Ring S.M., Sandhu M.S., Scherag A., Sims M.A., Song K., Soranzo N., Speliotes E.K., Lyon H.N., Voight B.F., Attwood A.P., Ridderstrale M., Groop L., Syddall H.E., Teichmann S.A., Timpson N.J., Tobias J.H., Uda M., Scheet P., Sanna S., Abecasis G.R.",10614036,Nature Genetics,40,6,0,0,22,22,58,80
2008,A polymorphism within the G6PC2 gene is associated with fasting plasma glucose levels,"Bouatia-Naji N., De Graeve F., Rung J., Vaxillaire M., Tichet J., Marre M., Balkau B., Weill J., Elliott P., Jarvelin M.-R., Meyre D., Rocheleau G., Polychronakos C., Dina C., Sladek R., Froguel P., Van Lommel L., Lemaire K., Schuit F., Cavalcanti-Proenca C., Marchand M., Hartikainen A.-L., Sovio U.",368075,Science,320,5879,0,0,4,4,19,23
2008,Maternal serum Chlamydia pneumoniae antibodies and CRP levels in women with preeclampsia and gestational hypertension,"Karinen L., Leinonen M., Bloigu A., Paldanius M., Koskela P., Saikku P., Hartikainen A.-L., Jarvelin M.-R., Pouta A.",10641955,Hypertension in Pregnancy,27,2,0,0,0,0,1,1
2008,A genome-wide association study identifies protein quantitative trait loci (pQTLs),"Melzer D., Paolisso G., Rafiq S., Simon-Sanchez J., Lango H., Scholz S., Weedon M.N., Arepalli S., Rice N., Washecka N., Hurst A., Perry J.R.B., Britton A., Henley W., Van De Leemput J., Li R., Newman A.B., Tranah G., Harris T., Panicker V., Dayan C., Bennett A., Hernandez D., McCarthy M.I., Ruokonen A., Jarvelin M.-R., Guralnik J., Bandinelli S., Frayling T.M., Singleton A., Ferrucci L., Corsi A.-M., Stevens K., Rafferty I., Lauretani F., Murray A., Gibbs J.R.",15537390,PLoS Genetics,4,5,0,0,2,2,4,6
2008,Common variation in the FTO gene alters diabetes-related metabolic traits to the extent expected given its effect on bmi,"Freathy R.M., Weedon M.N., Lindgren C.M., Lango H., Melzer D., Ferrucci L., Paolisso G., Neville M.J., Karpe F., Palmer C.N.A., Morris A.D., Timpson N.J., Elliott P., Jarvelin M.-R., Smith G.D., McCarthy M.I., Hattersley A.T., Frayling T.M., Lawlor D.A., Pouta A., Ben-Shlomo Y., Ruokonen A., Ebrahim S., Shields B., Zeggini E.",121797,Diabetes,57,5,0,0,16,16,18,34
2008,"Size at birth, weight gain over the life course, and low-grade inflammation in young adulthood: Northern Finland 1966 birth cohort study","Tzoulaki I., Saikku P., Elliott P., Jarvelin M.-R., Hartikainen A.-L., Leinonen M., Pouta A., Paldanius M., Ruokonen A., Canoy D., Sovio U.",0195668X,European Heart Journal,29,8,0,0,1,1,10,11
2008,Psychosocial factors as mediators between migration and subjective well-being among young Finnish adults,"Ek E., Koiranen M., Raatikka V.-P., Jarvelin M.-R., Taanila A.",2779536,Social Science and Medicine,66,7,0,0,0,0,2,2
2008,Maternal adiposity prior to pregnancy is associated with ADHD symptoms in offspring: Evidence from three prospective pregnancy cohorts,"Rodriguez A., Jarvelin M.-R., Miettunen J., Henriksen T.B., Olsen J., Obel C., Taanila A., Ebeling H., Linnet K.M., Moilanen I.",3070565,International Journal of Obesity,32,3,0,0,0,0,0,0
2008,Self-reported gingivitis and tooth loss poorly predict C-reactive protein levels: A study among Finnish young adults,"Ylostalo P.V., Jarvelin M.-R., Laitinen J., Knuuttila M.L.E.",3036979,Journal of Clinical Periodontology,35,2,0,0,1,1,1,2
2008,Should we brush twice a day? Determinants of dental health among young adults in Finland,"Nguyen L., Hakkinen U., Knuuttila M., Jarvelin M.-R.",10579230,Health Economics,17,2,0,0,2,2,1,3
2008,No evidence that established type 2 diabetes susceptibility variants in the PPARG and KCNJ11 genes have pleiotropic effects on early growth,"Bennett A.J., McCarthy M.I., Sovio U., Ruokonen A., Martikainen H., Pouta A., Hartikainen A.-L., Franks S., Elliott P., Jarvelin M.-R.",0012186X,Diabetologia,51,1,0,0,1,1,4,5
2008,Variations in prenatal sociodemographic factors associated with intellectual disability: A study of the 20-year interval between two birth cohorts in Northern Finland,"Heikura U., Taanila A., Hartikainen A.-L., Olsen P., Linna S.-L., Wendt L.V., Jarvelin M.-R.",29262,American Journal of Epidemiology,167,2,0,0,0,0,0,0
2007,"No association between placental weight or ratio at birth and risk of atopy, hay fever, or asthma at the age of 31 years","Keski-Nisula L., Jarvelin M.R., Pekkanen J.",10189068,Journal of Investigational Allergology and Clinical Immunology,17,6,0,0,0,0,0,0
2007,Executive functioning among Finnish adolescents with attention-deficit/ hyperactivity disorder,"Loo S.K., Ebeling H., Jarvelin M.-R., Smalley S.L., Humphrey L.A., Tapio T., Moilanen I.K., McGough J.J., McCracken J.T., Yang M.H., Dang J., Taanila A.",8908567,Journal of the American Academy of Child and Adolescent Psychiatry,46,12,0,2,1,3,0,3
2007,Subtypes versus severity differences in attention-deficit/hyperactivity disorder in the Northern Finnish birth cohort,"Lubke G.H., Jarvelin M.-R., Smalley S.L., Muthen B., Moilanen I.K., McGough J.J., Loo S.K., Swanson J.M., Yang M.H., Taanila A., Hurtig T.",8908567,Journal of the American Academy of Child and Adolescent Psychiatry,46,12,0,3,2,5,4,9
