,"Author: Itoh, Dr Yoshifumi; Itoh Yoshifumi ",,,,,,,,,,,
2002,Cloning of the pepX gene of Lactobacillus helveticus IFO3809 encoding salt-tolerant X-prolyl dipeptidyl aminopeptidase and characterization of the enzyme,"Kimura K., Nagasawa A., Fujii M., Itoh Y.",13891723,Journal of Bioscience and Bioengineering,93,6,2,0,0,0,0,2
2002,Functional analysis and regulation of the divergent spuABCDEFGH-spuI operons for polyamine uptake and utilization in Pseudomonas aeruginosa PAO1,"Lu C.-D., Itoh Y., Nakada Y., Jiang Y.",219193,Journal of Bacteriology,184,14,11,4,3,7,2,20
2002,Characterization of Bacillus subtilis strains isolated from fermented soybean foods in Southeast Asia: Comparison with B. subtilis (natto) starter strains,"Inatsu Y., Kimura K., Itoh Y.",213551,Japan Agricultural Research Quarterly,36,3,5,1,1,2,0,7
2002,"Characterization and regulation of the gbuA gene, encoding guanidinobutyrase in the arginine dehydrogenase pathway of Pseudomonas aeruginosa PAO1","Nakada Y., Itoh Y.",219193,Journal of Bacteriology,184,12,9,2,0,2,1,12
2002,Heterologous expression and characterization of class III chitinases from rice (Oryza sativa L.),"Park S.-M., Kim D.-H., Truong N.H., Itoh Y.",1410229,Enzyme and Microbial Technology,30,6,7,1,1,2,0,9
2002,Comparative study of the reaction mechanism of family 18 chitinases from plants and microbes,"Sasaki C., Yokoyama A., Itoh Y., Hashimoto M., Watanabe T., Fukamizo T.",0021924X,Journal of Biochemistry,131,4,19,2,3,5,1,25
2002,Functional analysis of the chitin-binding domain of a family 19 chitinase from Streptomyces griseus HUT6037: Substrate-binding affinity and cis-dominant increase of antifungal function,"Itoh Y.O.K., Kawase T., Nikaidou N., Fukada H., Mitsutomi M., Watanabe T., Itoh Y.",9168451,"Bioscience, Biotechnology and Biochemistry",66,5,15,2,3,5,2,22
2001,Cytoplasmic tail-dependent internalization of membrane-type 1 matrix metalloproteinase is important for its invasion-promoting activity,"Uekita T., Itoh Y., Yana I., Ohno H., Seiki M.",219525,Journal of Cell Biology,155,7,70,13,16,29,4,103
2001,Membrane-type 5 matrix metalloproteinase is expressed in differentiated neurons and regulates axonal growth,"Hayashita-Kinoh H., Kinoh H., Okada A., Komori K., Itoh Y., Chiba T., Kajita M., Yana I., Seiki M.",10449523,Cell Growth and Differentiation,12,11,27,10,4,14,2,43
2001,"Molecular characterization and regulation of the aguBA operon, responsible for agmatine utilization in Pseudomonas aeruginosa PAO1","Nakada Y., Jiang Y., Nishijyo T., Itoh Y., Lu C.-D.",219193,Journal of Bacteriology,183,22,22,5,2,7,1,30
2001,Homophilic complex formation of MT1-MMP facilitates proMMP-2 activation on the cell surface and promotes tumor cell invasion,"Itoh Y., Takamura A., Ito N., Maru Y., Sato H., Suenaga N., Aoki T., Seiki M.",2614189,EMBO Journal,20,17,106,18,15,33,11,150
2001,Claudin Promotes Activation of Pro-matrix Metalloproteinase-2 Mediated by Membrane-type Matrix Metalloproteinases,"Miyamori H., Takino T., Kobayashi Y., Tokai H., Itoh Y., Seiki M., Sato H.",219258,Journal of Biological Chemistry,276,30,58,13,11,24,5,87
2001,Mechanistic study of the photolysis of ring-substituted benzyl alkanoates in methanol,"Goshima T., Itoh Y., Shirai H., Kojima M.",10106030,Journal of Photochemistry and Photobiology A: Chemistry,141, 2-3,3,0,0,0,0,3
2001,The CbrA-CbrB two-component regulatory system controls the utilization of multiple carbon and nitrogen sources in Pseudomonas aeruginosa,"Nishijyo T., Haas D., Itoh Y.",0950382X,Molecular Microbiology,40,4,23,6,3,9,2,34
2001,Membrane-type 1 matrix metalloproteinase cleaves CD44 and promotes cell migration,"Kajita M., Itoh Y., Chiba T., Mori H., Okada A., Kinoh H., Seiki M.",219525,Journal of Cell Biology,153,5,221,24,30,54,22,297
2001,"Isolation and structure elucidation of two phosphorylated sterol sulfates, MT1-MMP inhibitors from a marine sponge Cribrochalina sp.: Revision of the structures of haplosamates A and B","Fujita M., Nakao Y., Matsunaga S., Seiki M., Itoh Y., Van Soest R.W.M., Heubes M., Faulkner D.J., Fusetani N.",404020,Tetrahedron,57,18,15,1,1,2,2,19
2001,Alternating copolymers containing an aromatic chromophore in every monomer unit. IV. Intramolecular triplet-triplet annihilation in copolymer of 9-phenanthrylmethyl methacrylate and 9-vinylphenanthrene in rigid solution,"Itoh Y., Inoue M., Etoh H., Kusano S., Goshima T.",143057,European Polymer Journal,37,3,2,0,0,0,0,2
2001,"Ancorinosides B-D, inhibitors of membrane type 1 matrix metalloproteinase (MT1-MMP), from the marine sponge Penares sollasi Thiele","Fujita M., Nakao Y., Matsunaga S., Seiki M., Itoh Y., Van Soest R.W.M., Fusetani N.",404020,Tetrahedron,57,7,14,1,1,2,1,17
2001,Specificity and genetic polymorphism of the Bacillus competence quorum-sensing system,"Tortosa P., Logsdon L., Kraigher B., Itoh Y., Mandic-Mulec I., Dubnau D.",219193,Journal of Bacteriology,183,2,24,1,8,9,2,35
2001,Role of cell surface matrix metalloproteinases,"Itoh Y., Seiki M.",0916572X,Connective Tissue,33,1,0,0,0,0,0,0
2000,Numerical simulations of films formed by cluster/particle co-deposition in atmospheric-pressure chemical vapor deposition process using organic silicon vapors and ozone gas,"Adachi M., Fujimoto T., Itoh Y., Okuyama K.",214922,"Japanese Journal of Applied Physics, Part 1: Regular Papers and Short Notes and Review Papers",39, 6 A,1,0,0,0,0,1
2000,Alternating copolymers containing an aromatic chromophore in every monomer unit. 3. Intramolecular excimer formation and energy transfer in poly(1-naphthylmethyl methacrylate-alt-2-vinylnaphthalene),"Itoh Y., Inoue M.",143057,European Polymer Journal,36,12,4,1,0,1,0,5
2000,Divergent structure of the ComQXPA quorum-sensing components: Molecular basis of strain-specific communication mechanism in Bacillus subtilis,"Tran L.-S.P., Nagai T., Itoh Y.",0950382X,Molecular Microbiology,37,5,23,2,3,5,3,31
2000,"Membrane-type 6 matrix metalloproteinase (MT6-MMP, MMP-25) is the second glycosyl-phosphatidyl inositol (GPI)-anchored MMP","Kojima S.-I., Itoh Y., Matsumoto S.-I., Masuho Y., Seiki M.",145793,FEBS Letters,480, 2-3,70,3,2,5,2,77
2000,"Chemical reaction kinetics and growth rate of (Ba, Sr) TiO3 films prepared by liquid source chemical vapor deposition","Fujimoto T., Itoh Y., Okuyama K., Yamada S., Murakami T., Shi F.G.",134651,Journal of the Electrochemical Society,147,7,6,0,0,0,0,6
2000,Front-cell-specific expression of membrane-type 1 matrix metalloproteinase and gelatinase A during cohort migration of colon carcinoma cells induced by hepatocyte growth factor/scatter factor,"Nabeshima K., Inoue T., Shimao Y., Okada Y., Itoh Y., Seiki M., Koono M.",85472,Cancer Research,60,13,53,7,2,9,3,65
2000,"A new IS4 family insertion sequence, IS4Bsu1, responsible for genetic instability of poly-?-glutamic acid production in Bacillus subtilis","Nagai T., Tran L.-S.P., Inatsu Y., Itoh Y.",219193,Journal of Bacteriology,182,9,21,2,1,3,3,27
2000,"Small, stable shuffle vectors based on the minimal pVS1 replicon for use in gram-negative, plant-associated bacteria","Heeb S., Itoh Y., Nishijyo T., Schnider U., Keel C., Wade J., Walsh U., O'Gara F., Haas D.",8940282,Molecular Plant-Microbe Interactions,13,2,87,18,14,32,7,126
2000,Alternating copolymers containing an aromatic chromophore in every monomer unit. 1. Fluorescence properties of poly(benzyl methacrylate-altstyrene),"Inoue M., Inokuchi M., Itoh Y., Shirai H., Suzuki S.",143057,European Polymer Journal,36,2,4,0,0,0,0,4
2000,Alternating copolymers containing an aromatic chromophore in every monomer unit. 2. Excimer formation and intramolecular energy migration in alternating copolymers of naphthylalkyl methacrylate and vinylnaphthalene,"Inoue M., Itoh Y., Kusano S., Shirai H., Suzuki S.",10601325,Journal of Macromolecular Science - Pure and Applied Chemistry,37, 1-2,2,0,0,0,0,2
1999,"Membrane type 4 matrix metalloproteinase (MT4-MMP, MMP-17) is a glycosylphosphatidylinositol-anchored proteinase","Itoh Y., Kajita M., Kinoh H., Mori H., Okada A., Seiki M.",219258,Journal of Biological Chemistry,274,48,93,5,4,9,0,102
1999,Steric effect on photochemistry of benzyl ester derivatives: 2. Effects of substituents and oxygen on photolysis of ?-methyl-substituted benzyl alkanoates,"Goshima T., Itoh Y., Kojima M., Karatsu T.",10106030,Journal of Photochemistry and Photobiology A: Chemistry,127, 1-3,5,0,0,0,0,5
1999,Human membrane type-4 matrix metalloproteinase (MT4-MMP) is encoded by a novel major transcript: Isolation of complementary DNA clones for human and mouse mt4-mmp transcripts,"Kajita M., Kinoh H., Ito N., Takamura A., Itoh Y., Okada A., Sato H., Seiki M.",145793,FEBS Letters,457,3,23,2,1,3,0,26
1999,"Cloning and characterization of ADAMTS11, an aggrecanase from the ADAMTS family","Abbaszade I., Hollist J.M., Wynn R., Duke J.L., George H.J., Hillman Jr. M.C., Murphy K., Wiswall B.H., Copeland R.A., Decicco C.P., Bruckner R., Liu R.-Q., Nagase H., Itoh Y., Newton R.C., Magolda R.L., Trzaskos J.M., Hollis G.F., Arner E.C., Burn T.C., Yang F., Rosenfeld S.A., Ross O.H., Link J.R., Ellis D.M., Tortorella M.D., Pratta M.A.",219258,Journal of Biological Chemistry,274,33,223,21,25,46,19,288
1999,Matrix metalloproteinase-2 in a murine model of infantile-type polycystic kidney disease,"Rankin C.A., Itoh Y., Tian C., Ziemer D.M., Calvet J.P., Gattone II V.H.",10466673,Journal of the American Society of Nephrology,10,2,13,2,1,3,1,17
1998,Molecular characterization and regulation of an operon encoding a system for transport of arginine and ornithine and the ArgR regulatory protein in Pseudomonas aeruginosa,"Nishijyo T., Park S.-M., Lu C.-D., Itoh Y., Abdelal A.T.",219193,Journal of Bacteriology,180,21,25,3,2,5,2,32
1998,Matrix metalloproteinase-2 production and its binding to the matrix are increased in abdominal aortic aneurysms,"Davis V., Persidskaia R., Baca-Regen L., Itoh Y., Nagase H., Persidsky Y., Ghorpade A., Timothy Baxter B.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",18,10,79,7,7,14,3,96
1998,Mutational analysis of the conserved cationic residues of Bacillus stearothermophilus 6-phosphoglucose isomerase,"Meng M., Chen Y.-T., Hsiao Y.-Y., Itoh Y.",142956,European Journal of Biochemistry,257,2,7,0,1,1,1,9
1998,Plasma membrane-bound tissue inhibitor of metalloproteinases (TIMP)-2 specifically inhibits matrix metalloproteinase 2 (gelatinase A) activated on the cell surface,"Itoh Y., Ito A., Iwata K., Tanzawa K., Mori Y., Nagase H.",219258,Journal of Biological Chemistry,273,38,71,2,6,8,1,80
1998,Steric effect on photochemistry of benzyl ester derivatives: 1. Photolysis of 1-(naphthyl)ethyl alkanoates in methanol,"Itoh Y., Gouki M., Goshima T., Hachimori A., Kojima M., Karatsu T.",10106030,Journal of Photochemistry and Photobiology A: Chemistry,117,2,8,0,0,0,0,8
1998,Matrix metalloproteinases and their inhibitors in human vitreous,"De La Paz M.A., Itoh Y., Toth C.A., Nagase H.",1460404,Investigative Ophthalmology and Visual Science,39,7,32,0,5,5,1,38
1998,"Comparative analysis of the noncollagenous NC1 domain of type IV collagen: Identification of structural features important for assembly, function, and pathogenesis","Netzer K.-O., Suzuki K., Itoh Y., Hudson B.G., Khalifah R.G.",9618368,Protein Science,7,6,25,0,3,3,2,30
1998,Photodissociation of 2-naphthol-labeled polyelectrolytes in aqueous solution,"Itoh Y., Ogura K., Hachimori A., Abe K.",143057,European Polymer Journal,34, 5-6,1,0,0,0,0,1
1998,Intact vitronectin induces matrix metalloproteinase-2 and tissue inhibitor of metalloproteinases-2 expression and enhanced cellular invasion by melanoma cells,"Bafetti L.M., Young T.N., Itoh Y., Stack M.S.",219258,Journal of Biological Chemistry,273,1,81,4,4,8,1,90
1997,Cloning and characterization of the aru genes encoding enzymes of the catabolic arginine succinyltransferase pathway in Pseudomonas aeruginosa,Itoh Y.,219193,Journal of Bacteriology,179,23,18,3,0,3,3,24
1997,Characterization of a generalized transducing phage of poly-?-glutamic acid-producing Bacillus subtilis and its application for analysis of Tn917- LTV1 insertional mutants defective in poly-?-glutamic acid production,"Nagai T., Itoh Y.",992240,Applied and Environmental Microbiology,63,10,6,0,1,1,1,8
1997,Effect of coil collapse on photon-harvesting polymers with phenanthrene chromophores,"Kiserow D.J., Itoh Y., Webber S.E.",249297,Macromolecules,30,10,10,1,1,2,0,12
1997,Chemical analysis of poly-?-glutamic acid produced by plasmid-free Bacillus subtilis (natto): Evidence that plasmids are not involved in poly-?-glutamic acid production,"Nagai T., Koguchi K., Itoh Y.",221260,Journal of General and Applied Microbiology,43,3,25,1,0,1,2,28
1997,Alternating copolymers consisting of arylalkyl methacrylates III: Phosphorescence of poly(arylalkyl methacrylate-alt-styrene) in a rigid solution,"Itoh Y., Inoue M., Hachimori A., Abet K.",10427147,Polymers for Advanced Technologies,8,1,4,0,0,0,0,4
1996,Quenching in the excited singlet state of amphiphilic copolymers with pendant carbazolylalkyl groups in aqueous solution,"Itoh Y., Yasue T., Gouki M., Hachimori A.",323861,Polymer,37,24,5,0,1,1,0,6
1996,Involvement of tissue inhibitors of metalloproteinases (TIMPs) during matrix metalloproteinase activation,"Nagase H., Suzuki K., Itoh Y., Kan C.-C., Gehring M.R., Huang W., Brew K.",652598,Advances in Experimental Medicine and Biology,389, ,25,1,0,1,1,27
