Source Title	Print-ISSN
"Journal of Herbs, Spices and Medicinal Plants"	10496475
Journal of Heredity	221503
Journal of Histochemistry and Cytochemistry	221554
Journal of Histotechnology	1478885
Journal of HIV Therapy	14620308
Journal of HIV/AIDS Prevention and Education for Adolescents and Children	1069837X
Journal of HIV/AIDS Prevention in Children and Youth	15538346
Journal of holistic nursing : official journal of the American Holistic Nurses' Association	8980101
Journal of Hospice and Palliative Nursing	15222179
Journal of Hospital Infection	1956701
Journal of Hospital Librarianship	15323269
Journal of Hospital Marketing	8837570
Journal of Hospital Marketing and Public Relations	15390942
Journal of Hospital Medicine	15535592
Journal of hospital medicine (Online)	15535606
"Journal of hospital supply, processing, and distribution"	7382928
Journal of Housing for the Elderly	2763893
Journal of Human Ecology	9709274
Journal of Human Ergology	3008134
Journal of Human Genetics	14345161
Journal of Human Hypertension	9509240
Journal of Human Kinetics	16405544
Journal of Human Lactation	8903344
Journal of Human Movement Studies	3067297
Journal of Human Nutrition	3084329
Journal of Human Nutrition and Dietetics	9523871
Journal of Human Reproductive Sciences	9741208
Journal of Human Stress	0097840X
Journal of Hunger and Environmental Nutrition	19320248
Journal of Hygiene	221724
Journal of Hygiene Epidemiology Microbiology and Immunology	221732
Journal of Hypertension	2636352
"Journal of Hypertension, Supplement"	9521178
Journal of image guided surgery	10787844
Journal of Imagery Research in Sport and Physical Activity	19320191
Journal of Immigrant and Minority Health	15571912
Journal of immigrant health	10964045
Journal of Immunoassay and Immunochemistry	15321819
Journal of Immunological Methods	221759
Journal of Immunology	221767
Journal of Immunotherapy	10538550
"Journal of immunotherapy (Hagerstown, Md. : 1997)"	15249557
Journal of in vitro fertilization and embryo transfer : IVF	7407769
Journal of Indian Association for Child and Adolescent Mental Health	9731342
Journal of Indian Association of Pediatric Surgeons	9719261
Journal of Indian Prosthodontist Society	9724052
Journal of individual psychology	221805
Journal of Infection	1634453
Journal of Infection and Chemotherapy	1341321X
Journal of Infection and Public Health	18760341
Journal of Infection in Developing Countries	19722680
Journal of Infection Preventions	17571774
Journal of Infectious Disease Pharmacotherapy	10687777
Journal of Infectious Diseases	221899
Journal of Inflammation Research	11787031
Journal of Infusion Nursing	15331458
Journal of Inherited Metabolic Disease	1418955
Journal of Injury and Violence Research	20082053
Journal of Innate Immunity	1662811X 
Journal of Innovative Optical Health Sciences	17935458
Journal of Institute of Postgraduate Medicine and Research	10179216
"Journal of insurance medicine (New York, N.Y.)"	7436661
Journal of Integrated Care	14624567
Journal of Integrated Care Pathways	14732297
Journal of integrative bioinformatics	16134516
Journal of Intellectual Disabilities	17446295
Journal of Intellectual Disability Research	9642633
Journal of Intensive Care Medicine	8850666
Journal of Intergenerational Relationships	15350770
Journal of Internal Medicine	9546820
Journal of Internal Medicine of India	9721096
Journal of Internal Medicine of Taiwan	10167390
"Journal of Internal Medicine, Supplement"	9557873
Journal of International Advanced Otology	13087649
Journal of International Affairs	0022197X 
Journal of International Dental and Medical Research	1309100X 
Journal of International Medical Research	3000605
Journal of Interprofessional Care	13561820
Journal of Interventional Cardiac Electrophysiology	1383875X
Journal of Interventional Cardiology	8964327
Journal of Interventional Oncology	19160518
Journal of Interventional Radiology	2680882
Journal of Intravenous Nursing	8965846
Journal of Invasive Cardiology	10423931
Journal of Investigational Allergology and Clinical Immunology	10189068
Journal of Investigative Dermatology	0022202X
Journal of Investigative Dermatology Symposium Proceedings	10870024
Journal of Investigative Medicine	10815589
Journal of Investigative Surgery	8941939
Journal of Isfahan Medical School	10277595
Journal of Japanese Association of Physical Medicine Balneology and Climatology	290343
Journal of Japanese Dental Society of Anesthesiology	3865835
Journal of Japanese Ophthalmological Society	290203
Journal of JASTRO	10409564
Journal of Jewish medical ethics and halacha.	
Journal of Korean Academy of Nursing	20053673
Journal of Korean Medical Science	10118934
Journal of Korean Neurosurgical Society	12258245
Journal of Korean Society for Clinical Pharmacology and Therapeutics	12255467
Journal of labelled compounds	222135
Journal of Labelled Compounds and Radiopharmaceuticals	3624803
Journal of Laboratory and Clinical Medicine	222143
Journal of Laparoendoscopic and Advanced Surgical Techniques - Part A	10926429
Journal of Laparoendoscopic Surgery	10523901
Journal of Laryngology and Otology	222151
Journal of law and health	10446419
Journal of law and medicine	1320159X
"Journal of Law, Medicine and Ethics"	10731105
Journal of Learning Disabilities	14690047
Journal of Learning Disabilities	222194
Journal of Legal Medicine	931748
Journal of Leukemia and Lymphoma	10099921
Journal of leukocyte biology. Supplement	
Journal of LGBT Health Research	15574091
Journal of LGBT Issues in Counseling	15538605
Journal of librarianship	222232
Journal of Long-Term Effects of Medical Implants	10506934
Journal of Loss and Trauma	15325024
Journal of Low Frequency Noise and Vibration	2630923
Journal of Lower Genital Tract Disease	10892591
Journal of Magnetic Resonance Imaging	10531807
Journal of Maintenance in the Addictions	10911332
Journal of Mammalian Ova Research	13417738
Journal of Mammary Gland Biology and Neoplasia	10833021
Journal of managed care pharmacy : JMCP	10834087
Journal of Managed Pharmaceutical Care	15349713
Journal of Management in Medicine	2689235
Journal of Manipulative and Physiological Therapeutics	1614754
Journal of Manual and Manipulative Therapy	10669817
Journal of Manual Medicine	9356339
Journal of Marmara University Dental Faculty	10185992
Journal of Marriage and Family Counseling	945102
Journal of Materials for Energy Systems	1629719
Journal of Maternal-Fetal and Neonatal Medicine	14767058
Journal of Maternal-Fetal Investigation	9396322
Journal of Maternal-Fetal Medicine	10570802
Journal of Maxillofacial Surgery	3010503
Journal of Mazandaran University of Medical Sciences	17359260
Journal of Medical and Biological Engineering	16090985
Journal of Medical and Dental Sciences	13428810
Journal of Medical Biochemistry	14528258
Journal of medical biography	9677720
Journal of Medical Case Reports	17521947
Journal of Medical Colleges of PLA	10001948
"Journal of Medical Devices, Transactions of the ASME"	19326181
Journal of Medical Economics	13696998
Journal of Medical Education	222577
Journal of Medical Entomology	222585
Journal of Medical Ethics	3066800
Journal of Medical Genetics	222593
Journal of Medical Humanities	10413545
Journal of Medical Imaging	9205497
Journal of Medical Imaging and Radiation Oncology	17549477
Journal of Medical Imaging and Radiation Sciences	19398654
Journal of Medical Internet Research	14388871
Journal of Medical Investigation	13431420
Journal of Medical Licensure and Discipline	1547481X 
Journal of Medical Marketing	17457904
Journal of Medical Microbiology	222615
Journal of Medical Physics	9716203
Journal of Medical Practice Management	87550229
Journal of Medical Primatology	472565
Journal of Medical Sciences	10114564
Journal of Medical Sciences	16824474
Journal of Medical Screening	9691413
Journal of Medical Speech-Language Pathology	10651438
Journal of Medical Systems	1485598
Journal of Medical Teachers Federation	15609006
Journal of Medical Ultrasonics	13464523
Journal of Medical Ultrasound	9296441
Journal of Medical Virology	1466615
Journal of Medicinal Food	1096620X
Journal of Medicinal Plant Research	19960875
Journal of Medicinal Plants	16840240
Journal of Medicine	257850
Journal of medicine and life	1844122X 
Journal of Medicine and Philosophy	3605310
Journal of Men's Health	18756867
Journal of Men's Health and Gender	15718913
Journal of Mental Deficiency Research	0022264X
Journal of Mental Health	9638237
Journal of Mental Health Administration	928623
Journal of Mental Health and Aging	10784470
Journal of Mental Health Policy and Economics	10914358
Journal of Microbiological Methods	1677012
Journal of Microbiology	12258873
"Journal of Microbiology, Immunology and Infection"	16841182
Journal of Micronutrient Analysis	0266349X
Journal of Microscopy	222720
Journal of Microsurgery	1913239
Journal of Midwifery and Women's Health	15269523
Journal of Minimal Access Surgery	9729941
Journal of Minimally Invasive Gynecology	15534650
Journal of Molecular and Cellular Cardiology	222828
Journal of molecular cell biology	16742788
Journal of Molecular Diagnostics	15251578
Journal of Molecular Histology	15672379
Journal of Molecular Medicine	9462716
Journal of Morphological Sciences	21770298
Journal of Motor Behavior	222895
Journal of Multicultural Nursing and Health	15268233
Journal of Multicultural Social Work	10428224
Journal of Multidisciplinary Healthcare	11782390
Journal of Musculoskeletal Neuronal Interactions	11087161
Journal of Musculoskeletal Pain	10582452
Journal of Musculoskeletal Research	2189577
Journal of Music Therapy	222917
Journal of Muslim Mental Health	15564908
Journal of Myocardial Ischemia	10457984
Journal of Nanobiotechnology	14773155
Journal of Nanotechnology in Engineering and Medicine	19492944
Journal of Nara Medical Association	13450069
Journal of National Black Nurses' Association : JNBNA	8856028
Journal of Natural Medicines	18610293
Journal of Natural Products	1633864
Journal of Negative Results in BioMedicine	14775751
Journal of Neonatal Nursing	13551841
Journal of Neonatal-Perinatal Medicine	19345798
Journal of Neonatology	9732179
Journal of Nepal Paediatric Society	19907974
Journal of Nephrology	11218428
"Journal of Nephrology, Urology and Transplantation"	16069331
Journal of Nervous and Mental Disease	223018
Journal of Neural Transmission	3009564
Journal of Neural Transmission - Parkinson's Disease and Dementia Section	9363076
Journal of Neuro-AIDS	10697438
Journal of Neurocytology	3004864
Journal of Neuroendocrinology	9538194
Journal of NeuroEngineering and Rehabilitation	17430003
Journal of Neuroimaging	10512284
Journal of NeuroImmune Pharmacology	15571890
Journal of Neuroimmunology	1655728
Journal of neurologic physical therapy : JNPT.	15570576
Journal of Neurologic Rehabilitation	8884390
Journal of Neurological and Orthopaedic Medicine and Surgery	8906599
Journal of Neurological and Orthopaedic Surgery	2711575
Journal of Neurological Sciences	13001817
Journal of Neurology	3405354
"Journal of Neurology, Neurosurgery and Psychiatry"	223050
"Journal of Neurology, Supplement"	9391517
Journal of Neuro-Oncology	0167594X
Journal of Neuro-Ophthalmology	10708022
Journal of Neuropathic Pain and Symptom Palliation	15437698
Journal of Neuropathology and Experimental Neurology	223069
Journal of neuropsychiatry	0449282X 
Journal of Neuropsychiatry and Clinical Neurosciences	8950172
Journal of Neuroradiology	1509861
Journal of Neurosurgery	223085
Journal of Neurosurgery: Pediatrics	19330707
Journal of Neurosurgery: Spine	15475654
Journal of Neurosurgical Anesthesiology	8984921
Journal of neurosurgical nursing	472603
Journal of Neurosurgical Sciences	3905616
Journal of Neurotrauma	8977151
Journal of NeuroVirology	13550284
Journal of neuro-visceral relations	223026
Journal of Nippon Medical School = Nihon Ika Daigaku zasshi	13454676
Journal of Noninvasive Cardiology	10945512
Journal of Nuclear Biology and Medicine	3683249
Journal of Nuclear Cardiology	10713581
Journal of Nuclear Medicine	1615505
Journal of Nuclear Medicine and Allied Sciences	3920208
Journal of Nuclear Medicine Technology	914916
Journal of Nurse-Midwifery	912182
Journal of Nursing	0047262X
Journal of Nursing Administration	20443
Journal of Nursing Care Quality	10573631
Journal of Nursing Education	1484834
Journal of nursing law	10737472
Journal of Nursing Management	9660429
Journal of Nursing Measurement	10613749
Journal of nursing quality assurance	8894647
Journal of Nursing Scholarship	15276546
Journal of Nursing Staff Development	8820627
"Journal of Nutraceuticals, Functional and Medical Foods"	10894179
Journal of Nutrigenetics and Nutrigenomics	16616499
Journal of Nutrition	223166
Journal of Nutrition Education	223182
Journal of Nutrition Education and Behavior	14994046
Journal of Nutrition for the Elderly	1639366
Journal of Nutrition in Gerontology and Geriatrics	21551197
"Journal of Nutrition, Health and Aging"	12797707
Journal of Nutritional and Environmental Medicine	13590847
Journal of Nutritional Biochemistry	9552863
Journal of Nutritional Immunology	10495150
Journal of Nutritional Medicine	9556664
Journal of Nutritional Science and Vitaminology	3014800
Journal of Obstetric Gynecologic and Neonatal Nursing	8842175
Journal of Obstetrics and Gynaecology	1443615
"Journal of obstetrics and gynaecology (Tokyo, Japan)"	13409654
Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	17012163
Journal of Obstetrics and Gynaecology Research	13418076
Journal of Obstetrics and Gynecology of India	9719202
Journal of Occupational Accidents	3766349
Journal of Occupational and Environmental Hygiene	15459624
Journal of Occupational and Environmental Medicine	10762752
Journal of Occupational Health	13419145
Journal of Occupational Health and Safety - Australia and New Zealand	8156409
Journal of Occupational Health Psychology	10768998
Journal of Occupational Medicine	961736
Journal of Occupational Medicine and Toxicology	1054044X
Journal of Occupational Medicine and Toxicology	17456673
Journal of Occupational Rehabilitation	10530487
"Journal of Occupational Therapy, Schools, and Early Intervention"	19411243
"Journal of Ocular Biology, Diseases, and Informatics"	19368437
Journal of Ocular Pharmacology	87563320
Journal of Ocular Pharmacology and Therapeutics	10807683
Journal of Offender Rehabilitation	10509674
Journal of Oncology	16878450
Journal of Oncology Pharmacy Practice	10781552
Journal of Oncology Practice	15547477
Journal of Ophthalmic and Vision Research	20082010
Journal of ophthalmic nursing & technology	7447132
Journal of Opioid Management	15517489
Journal of Optometry	18884296
Journal of Oral and Maxillofacial Surgery	2782391
Journal of Oral Biosciences	13490079
Journal of Oral Medicine	223247
Journal of Oral Pathology	3009777
Journal of Oral Pathology and Medicine	9042512
Journal of Oral Rehabilitation	0305182X
Journal of oral science	13434934
Journal of Oral Surgery	223255
"Journal of oral surgery, anesthesia, and hospital dental service"	959618
Journal of Organ Dysfunction	17471060
Journal of Orofacial Orthopedics	14345293
Journal of Orofacial Pain	10646655
Journal of Orthodontics	14653125
Journal of Orthomolecular Medicine	8344825
Journal of Orthomolecular Psychiatry	3170209
Journal of Orthopaedic and Sports Physical Therapy	1906011
Journal of Orthopaedic Nursing	13613111
Journal of Orthopaedic Research	7360266
Journal of Orthopaedic Rheumatology	9519580
Journal of Orthopaedic Science	9492658
Journal of Orthopaedic Surgery	10225536
Journal of Orthopaedic Surgery and Research	1749799X 
Journal of Orthopaedic Trauma	8905339
Journal of Orthopaedics and Traumatology	15909921
"Journal of Orthopaedics, Trauma and Rehabilitation"	22104917
Journal of Osaka Dental University	4752058
Journal of Otolaryngology	3816605
Journal of Otolaryngology - Head and Neck Surgery	19160216
Journal of Otolaryngology of Japan	306622
Journal of outcome measurement	1090655X
Journal of Outcomes Research	1369698X 
Journal of Ovarian Research	17572215
Journal of paediatric dentistry	2672073
Journal of Paediatrics and Child Health	10344810
Journal of Pain	15265900
Journal of Pain and Palliative Care Pharmacotherapy	15360288
Journal of Pain and Symptom Management	8853924
Journal of Pain Management	19395914
Journal of Pain Research	11787090
Journal of Pakistan Association of Dermatologists	15609014
Journal of Palliative Care	8258597
Journal of Palliative Medicine	10966218
Journal of Parenteral and Enteral Nutrition	1486071
Journal of Parkinson's Disease	18777171
Journal of pastoral care	223409
Journal of Pathology	223417
Journal of Patient Safety	15498417
Journal of Pediatric and Adolescent Gynecology	10833188
Journal of Pediatric Biochemistry	18795390
Journal of Pediatric Endocrinology and Metabolism	0334018X
Journal of Pediatric Gastroenterology and Nutrition	2772116
Journal of Pediatric Health Care	8915245
Journal of Pediatric Hematology/Oncology	10774114
Journal of Pediatric Infectious Diseases	18710336
Journal of Pediatric Neurology	13042580
Journal of Pediatric Neurosciences	18171745
Journal of Pediatric Nursing	8825963
Journal of Pediatric Oncology Nursing	10434542
Journal of Pediatric Ophthalmology	0022345X
Journal of Pediatric Ophthalmology and Strabismus	1913913
Journal of Pediatric Orthopaedics	2716798
Journal of Pediatric Orthopaedics Part B	1060152X
Journal of Pediatric Psychology	1468693
Journal of Pediatric Rehabilitation Medicine	18745393
Journal of Pediatric Surgery	223468
Journal of Pediatric Urology	14775131
Journal of Pediatrics	223476
Journal of Pedodontics	1455508
Journal of Pelvic Medicine and Surgery	15425983
Journal of Perianesthesia Nursing	10899472
Journal of Perinatal and Neonatal Nursing	8932190
Journal of Perinatal Medicine	3005577
"Journal of Perinatal Medicine, Supplement"	0936174X
Journal of Perinatology	7438346
Journal of Periodontal Research	223484
Journal of Periodontology	223492
Journal of perioperative practice	17504589
Journal of Personality Disorders	0885579X
Journal of Pharmaceutical Analysis	20951779
Journal of Pharmaceutical Care in Pain and Symptom Control	10564950
"Journal of Pharmaceutical Finance, Economics and Policy"	15385698
Journal of Pharmacoepidemiology	8966966
Journal of Pharmacokinetics and Biopharmaceutics	0090466X
Journal of Pharmacy and Pharmaceutical Sciences	14821826
Journal of Pharmacy of Istanbul University	3677524
Journal of Pharmacy Practice	8971900
Journal of Pharmacy Practice and Research	1445937X
Journal of Phonetics	954470
Journal of Photochemistry and Photobiology B: Biology	10111344
Journal of physical activity & health	15433080
Journal of Physical Education and Sport	15828131
Journal of Physical Therapy Science	9155287
Journal of Physician Assistant Education	19419430
Journal of physiological anthropology	18806791
Journal of Physiology Paris	9284257
Journal of Physiotherapy	18369553
Journal of Plastic Dermatology	
"Journal of Plastic, Reconstructive and Aesthetic Surgery"	17486815
Journal of Police and Criminal Psychology	8820783
Journal of Police Science and Administration	909084
Journal of Policy and Practice in Intellectual Disabilities	17411122
"Journal of polymer science: Part A, General papers"	4492951
Journal of Population Research	3770478
Journal of Positive Behavior Interventions	10983007
Journal of Post Anesthesia Nursing	8839433
Journal of Postgraduate Medical Institute	10135472
Journal of Postgraduate Medicine	223859
Journal of Practical Oncology	10011692
Journal of Practical Psychiatry and Behavioral Health	10765417
Journal of Practice Teaching in Social Work and Practice	14606690
Journal of Prevention	0163514X
Journal of Prevention and Intervention in the Community	10852352
Journal of Preventive Medicine and Hygiene	11212233
Journal of preventive medicine and public health = Yebang Uihakhoe chi.	2545985
Journal of Primary Health Care	11726164
Journal of Primary Prevention	0278095X
Journal of Prison and Jail Health	7318332
Journal of Prison Health	1927051
Journal of Professional Nursing	87557223
Journal of projective techniques	8853126
Journal of projective techniques & personality assessment	0091651X
Journal of Prosthetic Dentistry	223913
Journal of Prosthetics and Orthotics	10408800
Journal of Prosthodontic Research	18831958
Journal of Prosthodontics	1059941X
Journal of Psychedelic Drugs	0022393X
Journal of Psychiatric and Mental Health Nursing	13510126
Journal of Psychiatric Education	3631907
Journal of psychiatric nursing	2772973
Journal of Psychiatric Practice	15274160
Journal of Psychiatric Research	223956
Journal of Psychiatry and Law	931853
Journal of Psychiatry and Neuroscience	11804882
Journal of Psychoactive Drugs	2791072
Journal of Psychology and Human Sexuality	8907064
Journal of Psychopharmacology	2698811
Journal of Psychosocial Nursing and Mental Health Services	2793695
Journal of Psychosocial Oncology	7347332
Journal of Psychosomatic Obstetrics and Gynaecology	0167482X
Journal of Psychosomatic Research	223999
Journal of Psychotherapy and The Family	7429703
Journal of Psychotherapy in Independent Practice	15229580
Journal of Psychotherapy Integration	10530479
Journal of Psychotherapy Practice and Research	1055050X
Journal of Public Health	17413842
Journal of Public Health Dentistry	224006
Journal of public health management and practice : JPHMP	10784659
Journal of Public Health Medicine	9574832
Journal of Public Health Policy	1975897
Journal of quality assurance : a publication of the National Association of Quality Assurance Professionals	10620273
Journal of Quality in Clinical Practice	13205455
Journal of Quantitative Criminology	7484518
Journal of Radiation Research	4493060
Journal of Radioanalytical Chemistry	224081
Journal of Radiological Protection	9524746
Journal of Radiology Case Reports	19430922
Journal of Radiology Nursing	15460843
Journal of Radiotherapy in Practice	14603969
Journal of Reconstructive Microsurgery	0743684X
Journal of Refractive and Corneal Surgery	10810803
Journal of Refractive Surgery	1081597X
Journal of registry management	19456123
Journal of Rehabilitation	224154
Journal of Rehabilitation Medicine	16501977
"Journal of Rehabilitation Medicine, Supplement"	16501969
Journal of Rehabilitation Research and Development	7487711
Journal of Rehabilitation Sciences	9296719
Journal of Religion and Abuse	15211037
Journal of Religion and Health	224197
Journal of Religion and Spirituality in Social Work	15426432
"Journal of Religion, Disability and Health"	15228967
Journal of Religious Gerontology	10502289
Journal of Renal Care	17556678
Journal of Renal Nutrition	10512276
Journal of Reproduction and Contraception	10017844
Journal of Reproduction and Fertility	224251
Journal of Reproduction and Fertility Abstract Series	9540725
Journal of reproduction and fertility. Supplement	4493087
Journal of Reproductive and Infant Psychology	2646838
Journal of Reproductive Immunology	1650378
Journal of Reproductive Medicine for the Obstetrician and Gynecologist	247758
Journal of Research in Health Sciences	16822765
Journal of Research in Medical Sciences	17351995
Journal of Research in Nursing	17449871
Journal of Research in Pharmaceutical Economics	8966621
Journal of Respiratory Diseases	0194259X
Journal of Respiratory Diseases - For Pediatricians	
Journal of Rheumatology	0315162X
Journal of Rheumatology and Medical Rehabilitation	13000691
Journal of Robotic Surgery	18632483
Journal of Rural Health	0890765X
Journal of Saitama Medical School	3855074
Journal of School Health	224391
Journal of Science and Medicine in Sport	14402440
Journal of scientific & industrial research. C. Biological sciences	3684229
Journal of Scientific Instruments	9507671
Journal of Sex and Marital Therapy	0092623X
Journal of Sex Education and Therapy	1614576
Journal of Sexual Medicine	17436095
Journal of Shanghai Jiaotong University (Medical Science)	2585898
Journal of Shanghai Medical University	2578131
Journal of Shoulder and Elbow Surgery	10582746
Journal of Sichuan University (Medical Science Edition)	1672173X
Journal of Sleep Research	9621105
Journal of Small Animal Practice	224510
Journal of Smoking Cessation	18342612
Journal of Social and Administrative Pharmacy	2810662
Journal of social casework	87554879
Journal of Social Work in Disability and Rehabilitation	1536710X
Journal of Social Work Practice	2650533
Journal of Social Work Practice in the Addictions	1533256X
Journal of Special Education	224669
Journal of special operations medicine	15539768
Journal of Speech and Hearing Disorders	224677
Journal of speech and hearing disorders. Monograph supplement	
Journal of Speech and Hearing Research	224685
"Journal of Speech, Language, and Hearing Research"	10924388
Journal of Speech-Language Pathology and Audiology	8481970
Journal of Spinal Cord Medicine	10790268
Journal of Spinal Disorders	8950385
Journal of Spinal Disorders and Techniques	15360652
Journal of sport history	941700
Journal of Sport Management	8884773
Journal of Sport Rehabilitation	10566716
Journal of Sports Chiropractic and Rehabilitation	10841288
Journal of Sports Medicine and Physical Fitness	224707
Journal of Sports Science and Medicine	13032968
Journal of Sports Sciences	2640414
Journal of Sports Traumatology and Related Research	11203137
Journal of Stem Cells	15568539
Journal of Steroid Biochemistry and Molecular Biology	9600760
Journal of Strength and Conditioning Research	10648011
Journal of Stroke and Cerebrovascular Diseases	10523057
Journal of Studies on Alcohol	0096882X
Journal of Studies on Alcohol and Drugs	19371888
Journal of Studies on Alcohol and Drugs. Supplement	1946584X
Journal of studies on alcohol. Supplement	0363468X
Journal of Submicroscopic Cytology	224782
Journal of Submicroscopic Cytology and Pathology	11229497
Journal of Substance Abuse	8993289
Journal of Substance Abuse Treatment	7405472
Journal of Substance Misuse	13575007
Journal of Substance Use	14659891
Journal of Supportive Oncology	15446794
Journal of supramolecular structure	917419
Journal of supramolecular structure and cellular biochemistry. Supplement	7306652
Journal of Surgical Association Republic of China	10116788
Journal of Surgical Education	19317204
Journal of Surgical Oncology	224790
Journal of surgical oncology. Supplement	10467416
Journal of surgical orthopaedic advances	1548825X
Journal of Surgical Radiology	2156213X 
Journal of Surgical Research	224804
Journal of Swine Health and Production	1537209X
Journal of Teaching in Physical Education	2735024
Journal of Tehran University Heart Center	17358620
Journal of Telemedicine and Telecare	1357633X
Journal of the Aichi Medical University Association	3010902
Journal of the All-India Ophthalmological Society	447307
Journal of the American Academy of Applied Nutrition. American Academy	959839
Journal of the American Academy of Audiology	10500545
Journal of the American Academy of Child and Adolescent Psychiatry	8908567
Journal of the American Academy of Child Psychiatry	27138
Journal of the American Academy of Dermatology	1909622
Journal of the American Academy of Nurse Practitioners	10412972
Journal of the American Academy of Psychiatry and the Law	10936793
Journal of the American Academy of Psychoanalysis	903604
Journal of the American Academy of Psychoanalysis and Dynamic Psychiatry	15460371
Journal of the American Animal Hospital Association	5872871
Journal of the American Association for Medical Transcription	
Journal of the American Association of Gynecologic Laparoscopists	10743804
Journal of the American Association of Nurse Anesthetists	27448
Journal of the American Audiology Society	3609294
Journal of the American Auditory Society	1645080
Journal of the American Board of Family Medicine	15572625
Journal of the American College Health Association	27944
Journal of the American College of Cardiology	7351097
Journal of the American College of Certified Wound Specialists	18764983
Journal of the American College of Nutrition	7315724
Journal of the American College of Surgeons	10727515
Journal of the American Dental Association	28177
Journal of the American Dental Society of Anesthesiology	
Journal of the American Dietetic Association	28223
Journal of the American Geriatrics Society	28614
Journal of the American Insititute of Planners	28991
Journal of the American Medical Association	987484
Journal of the American Medical Directors Association	15258610
Journal of the American Medical Informatics Association : JAMIA	10675027
Journal of the American Medical Record Association	2739976
Journal of the American Medical Women's Association	917427
Journal of the American Mosquito Control Association	8756971X
Journal of the American Mosquito Control Association. Supplement	10463607
Journal of the American Optometric Association	30244
Journal of the American Pharmaceutical Association	30465
Journal of the American Pharmaceutical Association. American Pharmaceutical Association	959561
Journal of the American Pharmacists Association : JAPhA	15443191
Journal of the American Physical Therapy Association	
Journal of the American Podiatric Medical Association	87507315
Journal of the American Podiatry Association	30538
Journal of the American Psychiatric Nurses Association	10783903
Journal of the American Society for Surgery of the Hand	15310914
Journal of the American Society of Echocardiography	8947317
Journal of the American Society of Hypertension	19331711
Journal of the American Society of Nephrology : JASN	10466673
Journal of the American Venereal Disease Association	0095148X
Journal of the American Veterinary Medical Association	31488
Journal of the Anatomical Society of India	32778
Journal of the Anthropological Society of Nippon	35505
Journal of the Association for Academic Minority Physicians : the official publication of the Association for Academic Minority Physicians	10489886
Journal of the Association for Persons with Severe Handicaps	7491425
Journal of the Association for Physical and Mental Rehabilitation	988448
Journal of the Association of Medical Illustrators	988456
Journal of the Association of Nurses in AIDS Care	10553290
Journal of the Association of Pediatric Oncology Nurses	7481802
Journal of the Australian Population Association	8145725
Journal of the Australian Traditional-Medicine Society	13263390
Journal of the Autonomic Nervous System	1651838
Journal of the Bahrain Medical Society = Majallat Jam'iyat al-Atibba' al-Bahrayniyah	10156321
Journal of the Biological Photographic Association	63215
Journal of the British Contact Lens Association	1417037
Journal of the British Endodontic Society	70653
Journal of the British Fertility Society	13639579
Journal of the British Menopause Society	13621807
Journal of the California Dental Association	10432256
Journal of the Canadian Academy of Child and Adolescent Psychiatry	17198429
Journal of the Canadian Association of Radiologists	82902
Journal of the Canadian Dental Association	83372
Journal of the Canadian Dietetic Association	83399
Journal of the Canadian Society of Forensic Science	85030
Journal of the Canadian Urological Association	19116470
Journal of the cardiometabolic syndrome	15594564
Journal of the Chinese Agricultural Society	5781736
Journal of the Chinese Medical Association	17264901
Journal of the College of Physicians and Surgeons--Pakistan : JCPSP	1022386X
Journal of the College of Radiologists of Australasia	3748545
Journal of the Colorado Dental Association	101559
Journal of the Diabetic Association of India	3044513
Journal of the Diabetic Association of India	9704027
Journal of the Egyptian National Cancer Institute	11100362
Journal of the Egyptian Society of Parasitology	2535890
Journal of the European Academy of Dermatology and Venereology	9269959
Journal of the Florida Medical Association	154148
Journal of the Forensic Science Society	157368
Journal of the Formosan Medical Association = Taiwan yi zhi	9296646
Journal of the Gay and Lesbian Medical Association	10907173
Journal of the Hawaii Dental Association	178616
Journal of the Hawaii State Dental Association	925578
Journal of the history of dentistry	10896287
Journal of the History of Medicine and Allied Sciences	225045
Journal of the History of the Neurosciences	0964704X
Journal of the Hoffman Heart Institute of Connecticut	1091630X 
Journal of the Hong Kong College of Radiologists	10295079
Journal of the Hong Kong Medical Association	10108424
Journal of the ICRU	14736691
Journal of the Indian Dental Association	194611
Journal of the Indian Medical Association	14743655
Journal of the Indian Society of Pedodontics and Preventive Dentistry	9704388
Journal of the Institution of Nuclear Engineers	3682595
Journal of the Intensive Care Society	17511437
Journal of the International Academy of Periodontology	14662094
Journal of the International AIDS Society	17582652
Journal of the International Association of Dentistry for Children	3096858
Journal of the International Association of Physicians in AIDS Care	1081454X
"Journal of the International Association of Physicians in AIDS Care (Chicago, Ill. : 2002)"	15451097
Journal of the International Federation of Gynaecology and Obstetrics	206695
Journal of the International Neuropsychological Society : JINS	13556177
Journal of the International Phonetic Association	251003
Journal of the International Society of Sports Nutrition	15502783
Journal of the Iowa Medical Society	210587
Journal of the Irish Colleges of Physicians and Surgeons	3748405
Journal of the Irish Dental Association	211133
Journal of the Irish Medical Association	0021129X
Journal of the Japan Diabetes Society	0021437X
Journal of the Japan Epilepsy Society	9120890
Journal of the Japan Society of Colo-Proctology	471801
Journal of the Japanese Obstetrical and Gynecological Society	3880486
Journal of the Japanese Orthopaedic Association	215325
Journal of the Japanese Physical Therapy Association	13441272
Journal of the Kansas Dental Association	8887063
Journal of the Kentucky Dental Association	230162
Journal of the Kentucky Medical Association	230294
